"1721","19980117","40","17","2","11","32","7","26","45","$216,128.12","$7,496.20","$725.95","$28.40","$21.25"
"1723","19980124","36","28","25","8","7","20","27","17","$807,407.27","$10,877.55","$966.70","$31.10","$19.90"
"1725","19980131","27","26","40","19","31","7","44","17","$2,422,067.50","$9,829.05","$929.45","$29.75","$19.70"
"1727","19980207","22","3","7","21","20","2","11","23","$272,675.88","$5,362.30","$779.30","$29.30","$15.60"
"1729","19980214","17","15","2","7","31","25","42","10","$600,000.00","$9,269.20","$840.30","$29.75","$21.65"
"1731","19980221","12","6","17","14","13","3","2","5","$363,824.51","$5,768.65","$822.95","$28.95","$19.10"
"1733","19980228","42","31","41","18","1","2","14","15","$629,870.31","$16,099.40","$1,545.85","$45.60","$26.80"
"1735","19980307","40","23","8","25","20","9","22","30","$416,361.66","$8,511.45","$887.65","$31.30","$20.30"
"1737","19980314","16","17","4","42","1","27","6","24","$496,435.53","$10,940.75","$1,119.55","$37.00","$23.20"
"1739","19980321","44","43","18","6","30","19","23","5","$502,088.56","$12,344.25","$1,182.10","$38.30","$22.90"
"1741","19980328","36","21","16","37","24","25","33","43","$1,254,070.11","$13,091.65","$1,307.55","$40.70","$26.05"
"1743","19980404","6","3","9","5","18","16","14","8","$764,705.89","$5,303.20","$770.95","$27.95","$18.95"
"1745","19980411","15","45","34","7","41","3","2","33","$2,586,856.68","$14,359.75","$1,091.50","$36.45","$25.60"
"1747","19980418","16","19","41","21","10","9","18","28","$848,521.90","$10,343.20","$1,201.20","$36.55","$21.30"
"1749","19980425","39","20","15","45","36","5","13","21","$485,081.60","$11,273.55","$1,051.85","$34.95","$22.25"
"1751","19980502","8","37","44","9","40","27","15","21","$504,942.50","$9,630.00","$1,111.85","$38.00","$22.55"
"1753","19980509","7","40","28","39","5","12","8","25","$287,438.44","$11,810.15","$1,015.80","$33.95","$20.80"
"1755","19980516","17","7","10","36","16","8","43","33","$1,263,849.25","$12,425.20","$1,051.70","$31.85","$23.75"
"1757","19980523","4","29","7","32","11","20","21","3","$277,023.87","$6,314.50","$547.45","$23.55","$16.85"
"1759","19980530","17","42","23","2","8","16","30","19","$356,614.19","$10,139.15","$959.55","$33.85","$20.80"
"1761","19980606","13","21","24","25","34","7","14","15","$623,031.28","$8,060.80","$710.40","$26.10","$18.65"
"1763","19980613","32","20","35","11","34","16","7","6","$1,281,599.05","$11,100.10","$1,286.70","$38.15","$21.20"
"1765","19980620","2","17","24","38","30","34","33","10","$1,500,000.00","$11,177.30","$1,203.60","$39.05","$24.55"
"1767","19980627","2","33","42","6","24","25","44","18","$646,855.09","$16,148.15","$1,150.55","$39.25","$25.90"
"1769","19980704","29","7","5","38","12","22","45","4","$283,207.46","$8,566.50","$811.95","$28.50","$20.60"
"1771","19980711","43","4","31","30","36","3","9","23","$1,263,000.89","$16,165.95","$1,369.30","$40.85","$22.00"
"1773","19980718","12","45","6","20","27","18","3","7","$2,515,192.45","$10,208.20","$996.00","$31.40","$18.15"
"1775","19980725","5","44","16","9","42","32","6","37","$505,290.23","$13,738.95","$1,290.60","$41.85","$26.60"
"1777","19980801","9","8","10","22","5","17","18","32","$836,916.82","$8,778.10","$743.55","$27.00","$20.70"
"1779","19980808","13","30","11","25","39","18","42","4","$509,676.06","$8,240.80","$939.10","$30.50","$20.70"
"1781","19980815","30","13","3","14","45","18","33","9","$321,318.82","$7,564.75","$832.55","$31.15","$20.10"
"1783","19980822","23","2","9","42","39","45","16","44","$1,200,000.00","$10,028.50","$1,247.15","$39.30","$24.45"
"1785","19980829","40","25","13","37","44","5","24","32","$438,816.57","$11,807.95","$1,045.00","$35.75","$24.65"
"1787","19980905","6","44","39","42","1","18","15","25","$447,775.55","$14,031.30","$1,398.30","$43.60","$27.10"
"1789","19980912","24","19","44","2","39","23","26","28","$855,091.94","$14,915.85","$1,256.10","$39.20","$23.45"
"1791","19980919","19","37","12","11","35","4","5","13","$362,024.71","$10,999.85","$913.40","$30.05","$18.45"
"1793","19980926","38","29","20","33","26","44","7","35","$248,803.85","$8,490.60","$992.90","$36.55","$21.95"
"1795","19981003","18","7","24","3","43","16","9","23","$504,308.74","$10,088.80","$1,011.85","$32.00","$19.10"
"1797","19981010","10","30","15","1","40","41","25","14","$1,248,045.38","$8,994.25","$791.60","$32.20","$21.25"
"1799","19981017","15","28","2","37","5","16","3","38","$2,600,000.00","$12,703.25","$1,127.70","$35.75","$23.70"
"1801","19981024","41","24","43","31","45","37","13","9","$426,038.08","$13,337.95","$1,065.70","$38.05","$25.05"
"1803","19981031","40","8","21","30","33","35","43","39","$510,632.72","$9,592.05","$1,131.35","$36.25","$25.45"
"1805","19981107","28","33","39","19","4","36","9","44","$500,868.42","$11,246.50","$1,020.15","$34.85","$19.20"
"1807","19981114","6","45","25","44","26","37","35","41","$1,270,890.17","$13,824.00","$1,377.40","$42.65","$26.05"
"1809","19981121","38","24","1","32","3","18","2","25","$500,558.55","$11,851.95","$1,102.85","$39.25","$25.75"
"1811","19981128","11","41","2","25","5","30","8","14","$311,632.25","$8,169.05","$903.65","$32.55","$20.30"
"1813","19981205","18","27","33","6","45","32","2","24","$1,241,305.66","$12,449.15","$1,137.50","$37.65","$24.10"
"1815","19981212","25","36","2","18","9","32","6","34","$1,363,636.37","$10,330.90","$969.25","$33.15","$22.40"
"1817","19981219","18","4","22","16","27","5","36","41","$320,786.40","$10,765.45","$721.70","$29.20","$22.55"
"1819","19981226","33","2","13","37","31","4","27","11","$869,176.94","$9,144.40","$1,200.65","$35.75","$18.65"
"1821","19990102","35","5","18","41","28","44","9","45","$395,684.37","$10,651.90","$1,075.30","$36.15","$22.95"
"1823","19990109","41","29","24","14","16","5","42","28","$346,180.08","$13,754.70","$1,193.25","$39.80","$26.05"
"1825","19990116","43","36","38","9","19","39","25","26","$2,413,884.97","$13,406.50","$1,223.30","$35.70","$23.15"
"1827","19990123","5","8","16","3","15","41","1","7","$610,558.75","$6,509.15","$955.80","$31.80","$17.95"
"1829","19990130","25","36","3","43","44","45","14","41","$621,948.47","$11,159.05","$1,286.55","$36.55","$20.45"
"1831","19990206","41","8","18","39","12","30","24","38","$644,455.97","$12,417.60","$1,100.30","$37.80","$23.60"
"1833","19990213","34","15","35","16","29","33","24","22","$1,333,333.34","$9,830.40","$1,049.95","$38.65","$23.80"
"1835","19990220","43","39","25","20","10","38","13","7","$648,233.74","$10,036.35","$1,341.30","$38.75","$22.15"
"1837","19990227","12","23","26","39","13","41","17","30","$848,724.74","$8,914.40","$1,059.25","$36.75","$22.50"
"1839","19990306","16","19","34","35","40","33","42","23","$1,261,972.55","$16,542.85","$1,416.45","$40.70","$25.75"
"1841","19990313","3","24","41","19","26","6","32","37","$497,069.22","$10,955.65","$1,055.65","$35.15","$23.75"
"1843","19990320","20","15","32","25","44","2","10","1","$204,105.96","$14,592.80","$1,008.95","$38.05","$21.65"
"1845","19990327","33","7","27","39","34","31","38","35","$1,244,301.49","$12,236.10","$1,254.10","$34.70","$22.55"
"1847","19990403","15","27","23","33","4","32","19","31","$636,293.73","$8,925.50","$1,099.25","$35.65","$21.35"
"1849","19990410","18","28","38","35","16","21","33","43","$193,835.19","$7,239.10","$739.70","$30.85","$23.30"
"1851","19990417","34","38","20","22","24","27","25","7","$1,153,846.16","$10,124.10","$952.75","$34.20","$22.05"
